designation;name;phone_or_ext;photo_url
Governor;Tan Sri Nor Shamsiah binti Mohd Yunus P.S.M., P.M.W.;-;https://www.bnm.gov.my/documents/20124/3891245/Gabenor_Shamsiah.jpg?s=1
Deputy Governor;Datuk Shaik Abdul Rasheed bin Abdul Ghaffour P.M.W.;7593;https://www.bnm.gov.my/documents/20124/3891245/DG_Rasheed.jpg?s=1
Deputy Governor;Datuk Jessica Chew Cheng Lian P.J.N.;7692;https://www.bnm.gov.my/documents/20124/3891245/DG_Jessica.jpg?s=1
Deputy Governor;Dato' Marzunisham bin Omar D.S.D.K.;7728;https://www.bnm.gov.my/documents/20124/3891245/DG_MO.jpg?s=1
Assistant Governor;Adnan Zaylani Mohamad Zahid;7400;
Assistant Governor;Aznan Abdul Aziz;8380;
Assistant Governor;Fraziali Ismail;7729;
Assistant Governor;Dr. Norhana Endut;7518;
Assistant Governor;Abd. Rahman Abu Bakar;8071;
Assistant Governor;Suhaimi Ali;8729;
Assistant Governor;Abu Hassan Alshari Yahaya (appointed as Head of the Consumer Credit Oversight Board Task Force);+603 9179 2365;
Secretary to the Board;Fazlina Pawan Teh;7643;
Ex Officio Member;Datuk Johan Mahmood Merican;;https://www.bnm.gov.my/documents/20124/3891245/bod-johan-ksp.png?s=1
Independent Non-Executive Member;Chin Suit Fang;;https://www.bnm.gov.my/documents/20124/3891245/BOD_Chin_Suit_Fang.jpg?s=1
Independent Non-Executive Member;Dato’ Dr. Nirmala Menon a/p Y.B. Menon;;https://www.bnm.gov.my/documents/20124/3891245/BOD_DatoDr_Nirmala.jpg?s=1
Independent Non-Executive Member;Tan Sri Mohamed Azman Yahya;;https://www.bnm.gov.my/documents/20124/3891245/BOD_Tan_Sri_Azman.jpg?s=1
Independent Non-Executive Member;Kamarulazman Muhamed;;https://www.bnm.gov.my/documents/20124/3891245/BOD_Kamarulazman.jpg?s=1
Independent Non-Executive Member;Dr. Nungsari bin Ahmad Radhi;;https://www.bnm.gov.my/documents/20124/3891245/BOD-Dr-Nungsari.png
